id,emotion,en,kn,mr,tTa
p094,trust,"I have no doubt you will succeed.","ನೀನು ಯಶಸ್ವಿಯಾಗುತ್ತೀಯ ಎಂಬುದರಲ್ಲಿ ನನಗೆ ಯಾವುದೇ ಸಂದೇಹವಿಲ್ಲ.","मला खात्री आहे की तू यशस्वी होशील.","நீங்கள் வெற்றி பெறுவீர்கள் என்பதில் எனக்கு எந்த சந்தேகமும் இல்லை."
p095,trust,"Your integrity is unquestionable.","ನಿಮ್ಮ ಸಮಗ್ರತೆ ಪ್ರಶ್ನಾತೀತವಾಗಿದೆ.","तुमची सचोटी निर्विवाद आहे.","உங்கள் நேர்மை கேள்விக்கு அப்பாற்பட்டது."
p096,trust,"I'm putting my faith in your hands.","ನನ್ನ ನಂಬಿಕೆಯನ್ನು ನಿನ್ನ ಕೈಯಲ್ಲಿ ಇಡುತ್ತಿದ್ದೇನೆ.","मी माझा विश्वास तुझ्या हाती देत आहे.","என் நம்பிக்கையை உங்கள் கைகளில் வைக்கிறேன்."
p097,trust,"You've proven to be a loyal friend.","ನೀನು ಒಬ್ಬ ನಿಷ್ಠಾವಂತ ಸ್ನೇಹಿತ ಎಂದು ಸಾಬೀತುಪಡಿಸಿದ್ದೀಯ.","तू एक निष्ठावंत मित्र असल्याचे सिद्ध केले आहेस.","நீங்கள் ஒரு விசுவாசமான நண்பர் என்பதை நிரூபித்துள்ளீர்கள்."
p098,trust,"We have an unbreakable bond.","ನಮ್ಮದು ಮುರಿಯಲಾಗದ ಬಂಧ.","आपल्यात एक अतूट नाते आहे.","நமக்கு ஒரு பிரிக்க முடியாத பந்தம் உள்ளது."
p099,trust,"I can relax because I know you've got this.","ನೀನು ಇದನ್ನು ನಿಭಾಯಿಸುತ್ತೀಯ ಎಂದು ನನಗೆ ತಿಳಿದಿರುವುದರಿಂದ ನಾನು ವಿಶ್ರಾಂತಿ ಪಡೆಯಬಲ್ಲೆ.","मला माहित आहे की तू हे सांभाळून घेशील, म्हणून मी निश्चिंत आहे.","நீங்கள் இதை கவனித்துக் கொள்வீர்கள் என்று எனக்குத் தெரியும் என்பதால் நான் நிம்மதியாக இருக்க முடியும்."
p100,trust,"Your guidance has never failed me.","ನಿಮ್ಮ ಮಾರ್ಗದರ್ಶನ ನನ್ನನ್ನು ಎಂದಿಗೂ ವಿಫಲಗೊಳಿಸಿಲ್ಲ.","तुमच्या मार्गदर्शनाने मला कधीही अपयशी होऊ दिले नाही.","உங்கள் வழிகாட்டுதல் என்னை ஒருபோதும் தோல்வியடையச் செய்ததில்லை."
p101,fear,"I'm frozen with fear.","ನಾನು ಭಯದಿಂದ ಗಟ್ಟಿಯಾಗಿದ್ದೇನೆ.","मी भीतीने गोठून गेलो आहे.","நான் பயத்தில் உறைந்து போனேன்."
p102,fear,"What was that noise outside?","ಹೊರಗೆ ಆ ಶಬ್ದ ಏನಾಗಿತ್ತು?","बाहेर तो आवाज कसला होता?","வெளியே அந்த சத்தம் என்ன?"
p103,fear,"A shiver just ran down my spine.","ನನ್ನ ಬೆನ್ನಿನಲ್ಲಿ ಈಗ ತಾನೇ ಒಂದು ನಡುಕ ಹರಿಯಿತು.","आत्ताच माझ्या पाठीच्या कण्यातून एक शिरशिरी गेली.","என் முதுகெலும்பில் ஒரு நடுக்கம் ஓடியது."
p104,fear,"I'm afraid of what might happen.","ಏನಾಗಬಹುದೆಂದು ನನಗೆ ಭಯವಾಗುತ್ತಿದೆ.","पुढे काय होईल याची मला भीती वाटते.","என்ன நடக்கக்கூடும் என்று நான் பயப்படுகிறேன்."
p105,fear,"This is my worst nightmare.","ಇದು ನನ್ನ ಕೆಟ್ಟ кошмар.","हे माझे सर्वात वाईट स्वप्न आहे.","இது என் மோசமான கனவு."
p106,fear,"My hands are shaking uncontrollably.","ನನ್ನ ಕೈಗಳು ಅನಿಯಂತ್ರಿತವಾಗಿ ನಡುಗುತ್ತಿವೆ.","माझे हात अनियंत्रितपणे थरथरत आहेत.","என் கைகள் கட்டுப்பாடில்லாமல் நடுங்குகின்றன."
p107,fear,"I feel a sense of impending doom.","ನನಗೆ ಸನ್ನಿಹಿತವಾದ ವಿನಾಶದ ಭಾವನೆ ಬರುತ್ತಿದೆ.","मला जवळ येत असलेल्या विनाशाची भावना होत आहे.","வரவிருக்கும் பேரழிவின் உணர்வை நான் உணர்கிறேன்."
p108,fear,"Please tell me everything is going to be okay.","ದಯವಿಟ್ಟು ಎಲ್ಲವೂ ಸರಿಯಾಗಲಿದೆ ಎಂದು ಹೇಳಿ.","कृपया मला सांगा की सर्व काही ठीक होईल.","தயவுசெய்து எல்லாம் சரியாகிவிடும் என்று சொல்லுங்கள்."
p109,fear,"I don't think we're going to make it.","ನಾವು ಇದನ್ನು ಮಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ ಎಂದು ನಾನು ಭಾವಿಸುತ್ತೇನೆ.","मला वाटत नाही की आपण हे करू शकू.","நாம் தப்பிப்பிழைப்போம் என்று நான் நினைக்கவில்லை."
p110,fear,"Every shadow looks like a monster.","ಪ್ರತಿಯೊಂದು ನೆರಳೂ ಒಂದು ರಾಕ್ಷಸನಂತೆ ಕಾಣುತ್ತದೆ.","प्रत्येक सावली राक्षसासारखी दिसते.","ஒவ்வொரு நிழலும் ஒரு அசுரன் போல் தெரிகிறது."
p111,surprise,"I'm utterly astonished!","ನಾನು ಸಂಪೂರ್ಣವಾಗಿ ಆಶ್ಚರ್ಯಚಕಿತನಾಗಿದ್ದೇನೆ!","मी पूर्णपणे चकित झालो आहे!","நான் முற்றிலும் திகைத்துவிட்டேன்!"
p112,surprise,"Where did you come from?","ನೀನು ಎಲ್ಲಿಂದ ಬಂದೆ?","तू कुठून आलास?","நீ எங்கிருந்து வந்தாய்?"
p113,surprise,"This is beyond anything I imagined.","ಇದು ನಾನು ಕಲ್ಪಿಸಿದ್ದಕ್ಕೂ ಮೀರಿದ್ದು.","हे माझ्या कल्पनेच्या पलीकडचे आहे.","இது நான் கற்பனை செய்ததற்கும் அப்பாற்பட்டது."
p114,surprise,"Wait, what just happened?","ಒಂದು ನಿಮಿಷ, ಈಗಷ್ಟೇ ಏನಾಯಿತು?","थांब, आता काय झाले?","பொறு, இப்போது என்ன நடந்தது?"
p115,surprise,"I never thought I'd see the day.","ಈ ದಿನವನ್ನು ನಾನು ನೋಡುತ್ತೇನೆಂದು ಎಂದಿಗೂ ಭಾವಿಸಿರಲಿಲ್ಲ.","हा दिवस मी पाहीन असे मला कधीच वाटले नव्हते.","இந்த நாளை நான் பார்ப்பேன் என்று நினைக்கவே இல்லை."
p116,surprise,"You really caught me off guard.","ನೀನು ನಿಜವಾಗಿಯೂ ನನ್ನನ್ನು ಅನಿರೀಕ್ಷಿತವಾಗಿ ಹಿಡಿದಿದ್ದೀಯ.","तू मला खरंच गाफील पकडलेस.","நீங்கள் என்னை உண்மையிலேயே திக்குமுக்காட வைத்துவிட்டீர்கள்."
p117,surprise,"That came out of nowhere!","ಅದು ಎಲ್ಲಿಂದಲೋ ಬಂದಿತು!","ते कुठून आले काही कळलेच नाही!","அது எங்கிருந்தோ வந்தது!"
p118,surprise,"For a moment, I was at a complete loss for words.","ಒಂದು ಕ್ಷಣ, ನನಗೆ ಮಾತನಾಡಲು ಪದಗಳೇ ಸಿಗಲಿಲ್ಲ.","एक क्षणासाठी, मला काय बोलावे तेच सुचले नाही.","ஒரு கணம், நான் வார்த்தைகள் இல்லாமல் தவித்தேன்."
p119,surprise,"This is a revelation!","ಇದು ಒಂದು ಬಹಿರಂಗ!","हा एक साक्षात्कार आहे!","இது ஒரு வெளிப்பாடு!"
p120,surprise,"You managed to leave me speechless.","ನೀನು ನನ್ನನ್ನು ಮೂಕನನ್ನಾಗಿಸಲು ಯಶಸ್ವಿಯಾಗಿದ್ದೀಯ.","तू मला निःशब्द करण्यात यशस्वी झालास.","நீங்கள் என்னை வாயடைக்க வைத்துவிட்டீர்கள்."
p121,sadness,"A wave of sadness just washed over me.","ಒಂದು ದುಃಖದ ಅಲೆ ನನ್ನ ಮೇಲೆ ಹರಿಯಿತು.","दुःखाची एक लाट माझ्यावरून गेली.","ஒரு சோக அலை என் மீது பரவியது."
p122,sadness,"I feel so let down.","ನನಗೆ ತುಂಬಾ ನಿರಾಸೆಯಾಗಿದೆ.","मला खूप निराश वाटत आहे.","நான் மிகவும் ஏமாற்றமடைந்ததாக உணர்கிறேன்."
p123,sadness,"It hurts more than I can say.","ನಾನು ಹೇಳುವುದಕ್ಕಿಂತ ಹೆಚ್ಚು ನೋವಾಗುತ್ತಿದೆ.","मी सांगू शकेन त्यापेक्षा जास्त त्रास होतो.","நான் சொல்வதை விட இது மிகவும் வலிக்கிறது."
p124,sadness,"I wish things could have been different.","ವಿಷಯಗಳು ಬೇರೆಯಾಗಿದ್ದರೆ ಚೆನ್ನಾಗಿರುತ್ತಿತ್ತು.","गोष्टी वेगळ्या असत्या तर बरे झाले असते.","விஷயங்கள் வித்தியாசமாக இருந்திருக்கலாம் என்று விரும்புகிறேன்."
p125,sadness,"My heart feels heavy today.","ಇಂದು ನನ್ನ ಹೃದಯ ಭಾರವಾಗಿದೆ.","आज माझे मन खूप जड झाले आहे.","இன்று என் இதயம் கனமாக இருக்கிறது."
p126,sadness,"I can't believe it's really over.","ಇದು ನಿಜವಾಗಿಯೂ ಮುಗಿದಿದೆ ಎಂದು ನನಗೆ ನಂಬಲು ಸಾಧ್ಯವಿಲ್ಲ.","हे खरंच संपले आहे यावर माझा विश्वास बसत नाही.","இது உண்மையில் முடிந்துவிட்டது என்று என்னால் நம்ப முடியவில்லை."
p127,sadness,"There's a lump in my throat.","ನನ್ನ ಗಂಟಲಿನಲ್ಲಿ ಒಂದು ಗಂಟು ಇದೆ.","माझ्या घशात आवंढा आला आहे.","என் தொண்டையில் ஒரு கட்டி இருக்கிறது."
p128,sadness,"The tears just keep coming.","ಕಣ್ಣೀರು ಬರುತ್ತಲೇ ಇದೆ.","डोळ्यांतून अश्रू वाहतच आहेत.","கண்ணீர் வந்து கொண்டே இருக்கிறது."
p129,sadness,"I feel completely shattered.","ನಾನು ಸಂಪೂರ್ಣವಾಗಿ ಜರ್ಝರಿತನಾಗಿದ್ದೇನೆ.","मी पूर्णपणे खचून गेलो आहे.","நான் முற்றிலும் நொறுங்கிப் போனேன்."
p130,sadness,"This feeling of loss is overwhelming.","ಈ ನಷ್ಟದ ಭಾವನೆ ಅಗಾಧವಾಗಿದೆ.","ही नुकसानीची भावना असह्य आहे.","இந்த இழப்பின் உணர்வு தாங்க முடியாதது."
p131,disgust,"That's a disgusting habit.","ಅದು ಒಂದು ಅಸಹ್ಯಕರ ಅಭ್ಯಾಸ.","ती एक किळसवाणी सवय आहे.","அது ஒரு அருவருப்பான பழக்கம்."
p132,disgust,"I'm appalled by their behavior.","ಅವರ ನಡವಳಿಕೆಯಿಂದ ನಾನು ದಿಗ್ಭ್ರಮೆಗೊಂಡಿದ್ದೇನೆ.","त्यांच्या वागण्याने मी थक्क झालो आहे.","அவர்களின் நடத்தையால் நான் திகைப்படைகிறேன்."
p133,disgust,"The hypocrisy is nauseating.","ಆ ಬೂಟಾಟಿಕೆ ವಾಕರಿಕೆ ತರಿಸುತ್ತದೆ.","तो ढोंगीपणा मळमळ आणणारा आहे.","அந்த பாசாங்குத்தனம் குமட்ட வைக்கிறது."
p134,disgust,"What a wretched thing to do.","ಮಾಡಲು ಎಂತಹ ನೀಚ ಕೆಲಸ.","किती नीच कृत्य आहे हे.","என்ன ஒரு கேவலமான செயல்."
p135,disgust,"It leaves a bad taste in my mouth.","ಅದು ನನ್ನ ಬಾಯಲ್ಲಿ ಕೆಟ್ಟ ರುಚಿಯನ್ನು ಬಿಡುತ್ತದೆ.","ते माझ्या तोंडात एक वाईट चव सोडून जाते.","அது என் வாயில் ஒரு கெட்ட சுவையை விட்டுச் செல்கிறது."
p136,disgust,"Their actions are utterly contemptible.","ಅವರ ಕೃತ್ಯಗಳು ಸಂಪೂರ್ಣವಾಗಿ ತಿರಸ್ಕಾರಾರ್ಹ.","त्यांची कृती पूर्णपणे तिरस्करणीय आहे.","அவர்களின் செயல்கள் முற்றிலும் இழிவானவை."
p137,disgust,"I find that idea completely repugnant.","ಆ ಕಲ್ಪನೆ ನನಗೆ ಸಂಪೂರ್ಣವಾಗಿ ಅಸಹ್ಯಕರವಾಗಿದೆ.","ती कल्पना मला पूर्णपणे घृणास्पद वाटते.","அந்த யோசனை எனக்கு முற்றிலும் அருவருப்பானது."
p138,disgust,"This place is absolutely filthy.","ಈ ಸ್ಥಳ ಸಂಪೂರ್ಣವಾಗಿ ಕೊಳಕಾಗಿದೆ.","हे ठिकाण पूर्णपणे घाणेरडे आहे.","இந்த இடம் முற்றிலும் அசுத்தமானது."
p139,disgust,"I wouldn't touch that with a ten-foot pole.","ನಾನು ಅದನ್ನು ಹತ್ತು ಅಡಿ ಕಂಬದಿಂದಲೂ ಮುಟ್ಟುವುದಿಲ್ಲ.","मी त्याला दहा फुटी काठीनेही स्पर्श करणार नाही.","நான் அதை பத்து அடி கம்பியாலும் தொடமாட்டேன்."
p140,disgust,"The corruption is sickening.","ಭ್ರಷ್ಟಾಚಾರವು ಅಸಹ್ಯಕರವಾಗಿದೆ.","हा भ्रष्टाचार किळसवाणा आहे.","ஊழல் அருவருப்பானது."
p141,anger,"I'm done listening to your lies!","ನಿನ್ನ ಸುಳ್ಳುಗಳನ್ನು ಕೇಳಿ ನನಗೆ ಸಾಕಾಗಿದೆ!","तुझे खोटे बोलणे ऐकून मी आता कंटाळलो आहे!","உன் பொய்களைக் கேட்டு முடித்துவிட்டேன்!"
p142,anger,"This is an outrage!","ಇದು ಒಂದು ಆಕ್ರೋಶ!","हा एक अपमान आहे!","இது ஒரு அநியாயம்!"
p143,anger,"You've gone way too far this time.","ನೀನು ಈ ಬಾರಿ ತುಂಬಾ ದೂರ ಹೋಗಿದ್ದೀಯ.","तू या वेळी खूपच पुढे गेला आहेस.","நீங்கள் இந்த முறை மிகவும் தூரம் சென்றுவிட்டீர்கள்."
p144,anger,"I'm seeing red right now.","ನಾನು ಈಗ ಕೋಪದಿಂದ ಕುದಿಯುತ್ತಿದ್ದೇನೆ.","मी आता रागाने लाल झालो आहे.","நான் இப்போது கோபத்தில் சிவப்பாக இருக்கிறேன்."
p145,anger,"Who do you think you are?","ನೀನು ಯಾರೆಂದು ನಿನ್ನ ಭಾವನೆ?","तू स्वतःला समजतोस तरी कोण?","நீ யாரென்று நினைக்கிறாய்?"
p146,anger,"This is a complete waste of my time!","ಇದು ನನ್ನ ಸಮಯದ ಸಂಪೂರ್ಣ ವ್ಯರ್ಥ!","हा माझ्या वेळेचा पूर्णपणे अपव्यय आहे!","இது என் நேரத்தை முற்றிலும் வீணடிப்பது!"
p147,anger,"Stop pushing my buttons.","ನನ್ನನ್ನು ಕೆಣಕುವುದನ್ನು ನಿಲ್ಲಿಸು.","माझ्या सहनशीलतेचा अंत पाहू नकोस.","என் பொறுமையை சோதிப்பதை நிறுத்து."
p148,anger,"I demand an explanation!","ನನಗೆ ಒಂದು ವಿವರಣೆ ಬೇಕು!","मला स्पष्टीकरण हवे आहे!","நான் ஒரு விளக்கம் கோருகிறேன்!"
p149,anger,"I can't believe the nerve of some people.","ಕೆಲವು ಜನರ ಧೈರ್ಯವನ್ನು ನನಗೆ ನಂಬಲು ಸಾಧ್ಯವಿಲ್ಲ.","काही लोकांच्या धाडसावर माझा विश्वास बसत नाही.","சிலரின் தைரியத்தை என்னால் நம்ப முடியவில்லை."
p150,anger,"That was a deeply insulting remark.","ಅದು ಆಳವಾಗಿ ಅವಮಾನಕರವಾದ ಮಾತು.","ती एक अत्यंत अपमानजनक टिप्पणी होती.","அது மிகவும் அவமானகரமான கருத்து."
p151,anticipation,"I'm eagerly awaiting your arrival.","ನಾನು ನಿಮ್ಮ ಆಗಮನವನ್ನು ಕಾತರದಿಂದ ಕಾಯುತ್ತಿದ್ದೇನೆ.","मी तुमच्या आगमनाची आतुरतेने वाट पाहत आहे.","உங்கள் வருகையை ஆவலுடன் எதிர்பார்த்துக் கொண்டிருக்கிறேன்."
p152,anticipation,"The new episode is about to start!","ಹೊಸ ಸಂಚಿಕೆ ಪ್ರಾರಂಭವಾಗಲಿದೆ!","नवीन भाग सुरू होणार आहे!","புதிய எபிசோட் தொடங்கப் போகிறது!"
p153,anticipation,"I have a good feeling about tomorrow.","ನಾಳೆಯ ಬಗ್ಗೆ ನನಗೆ ಒಳ್ಳೆಯ ಭಾವನೆ ಇದೆ.","मला उद्याबद्दल चांगली भावना आहे.","நாளைப் பற்றி எனக்கு ஒரு நல்ல உணர்வு இருக்கிறது."
p154,anticipation,"Just a little bit longer...","ಇನ್ನೇನು ಸ್ವಲ್ಪ ಸಮಯ...","आणखी थोडा वेळ...","இன்னும் கொஞ்ச நேரம் தான்..."
p155,anticipation,"I'm getting butterflies in my stomach.","ನನ್ನ ಹೊಟ್ಟೆಯಲ್ಲಿ ಚಿಟ್ಟೆಗಳು ಹಾರಾಡುತ್ತಿವೆ.","माझ्या पोटात फुलपाखरे उडत आहेत.","என் வயிற்றில் பட்டாம்பூச்சிகள் பறக்கின்றன."
p156,anticipation,"The possibilities are endless!","ಸಾಧ್ಯತೆಗಳು അനന്തವಾಗಿವೆ!","शक्यता अमर्याद आहेत!","சாத்தியக்கூறுகள் முடிவற்றவை!"
p157,anticipation,"I hope this is everything I've dreamed of.","ಇದು ನಾನು ಕನಸು ಕಂಡಿದ್ದೆಲ್ಲವೂ ಆಗಿರಲಿ ಎಂದು ನಾನು ಭಾವಿಸುತ್ತೇನೆ.","हे सर्व माझ्या स्वप्नासारखे असावे अशी माझी इच्छा आहे.","இது நான் கனவு கண்ட அனைத்தும் என்று நம்புகிறேன்."
p158,anticipation,"The results will be posted soon.","ಫಲಿತಾಂಶಗಳನ್ನು ಶೀಘ್ರದಲ್ಲೇ ಪ್ರಕಟಿಸಲಾಗುವುದು.","निकाल लवकरच जाहीर केला जाईल.","முடிவுகள் விரைவில் வெளியிடப்படும்."
p159,anticipation,"This is going to change everything.","ಇದು ಎಲ್ಲವನ್ನೂ ಬದಲಾಯಿಸಲಿದೆ.","हे सर्व काही बदलून टाकेल.","இது எல்லாவற்றையும் மாற்றப் போகிறது."
p160,anticipation,"The countdown has begun!","ಎಣಿಕೆ ಪ್ರಾರಂಭವಾಗಿದೆ!","उलटगणती सुरू झाली आहे!","கவுண்ட்டவுன் தொடங்கிவிட்டது!"
p161,joy,"I could dance all night long!","ನಾನು ರಾತ್ರಿಯಿಡೀ ನೃತ್ಯ ಮಾಡಬಲ್ಲೆ!","मी रात्रभर नाचू शकेन!","நான் இரவு முழுவதும் நடனமாட முடியும்!"
p162,joy,"Seeing you again is the best feeling in the world.","ನಿನ್ನನ್ನು ಮತ್ತೆ ನೋಡುವುದು ಪ್ರಪಂಚದಲ್ಲೇ ಅತ್ಯುತ್ತಮ ಭಾವನೆ.","तुला पुन्हा पाहणे ही जगातील सर्वोत्तम भावना आहे.","உன்னை மீண்டும் பார்ப்பது உலகின் சிறந்த உணர்வு."
p163,joy,"This is a moment I'll cherish forever.","ಇದು ನಾನು ಶಾಶ್ವತವಾಗಿ ಪಾಲಿಸುವ ಕ್ಷಣ.","हा एक क्षण आहे जो मी कायमचा जपेन.","இது நான் என்றென்றும் போற்றும் ஒரு தருணம்."
p164,joy,"My heart is singing with joy.","ನನ್ನ ಹೃದಯ ಸಂತೋಷದಿಂದ ಹಾಡುತ್ತಿದೆ.","माझे हृदय आनंदाने गात आहे.","என் இதயம் மகிழ்ச்சியில் பாடுகிறது."
p165,joy,"Everything is finally falling into place.","ಅಂತಿಮವಾಗಿ ಎಲ್ಲವೂ ಸರಿಯಾದ ಸ್ಥಾನಕ್ಕೆ ಬರುತ್ತಿದೆ.","अखेरीस सर्व काही जागेवर येत आहे.","எல்லாம் இறுதியாக орங்கமைந்து வருகிறது."
p166,joy,"You bring so much light into my life.","ನೀನು ನನ್ನ ಜೀವನಕ್ಕೆ ತುಂಬಾ ಬೆಳಕನ್ನು ತರುತ್ತೀಯ.","तू माझ्या आयुष्यात खूप प्रकाश आणतोस.","என் வாழ்வில் இவ்வளவு ஒளியைக் கொண்டு வருகிறாய்."
p167,joy,"I'm overwhelmed with gratitude.","ನಾನು ಕೃತಜ್ಞತೆಯಿಂದ অভিভূতನಾಗಿದ್ದೇನೆ.","मी कृतज्ञतेने भारावून गेलो आहे.","நான் நன்றியுணர்வால் పొంగిపోతున్నాను."
p168,joy,"What a beautiful, perfect moment.","ಎಂತಹ ಸುಂದರ, ಪರಿಪೂರ್ಣ ಕ್ಷಣ.","काय सुंदर, परिपूर्ण क्षण आहे.","என்ன ஒரு அழகான, சரியான தருணம்."
p169,joy,"I haven't felt this good in years.","ನಾನು ವರ್ಷಗಳಿಂದ ಇಷ್ಟು ಚೆನ್ನಾಗಿ ಭಾವಿಸಿರಲಿಲ್ಲ.","मला वर्षांमध्ये इतके चांगले वाटले नव्हते.","பல வருடங்களாக நான் இவ்வளவு நன்றாக உணர்ந்ததில்லை."
p170,joy,"This success feels so well-deserved.","ಈ ಯಶಸ್ಸು ತುಂಬಾ ಅರ್ಹವೆಂದು ಭಾಸವಾಗುತ್ತಿದೆ.","हे यश खूप योग्य वाटते.","இந்த வெற்றி மிகவும் தகுதியானது என்று உணர்கிறேன்."
p171,trust,"I'll stand by your decision, no matter what.","ಏನೇ ಆದರೂ ನಾನು ನಿನ್ನ ನಿರ್ಧಾರದ ಪರವಾಗಿ ನಿಲ್ಲುತ್ತೇನೆ.","काहीही झाले तरी मी तुझ्या निर्णयाच्या पाठीशी उभा राहीन.","என்ன ஆனாலும் உன் முடிவுக்கு நான் துணை நிற்பேன்."
p172,trust,"You've earned my complete confidence.","ನೀನು ನನ್ನ ಸಂಪೂರ್ಣ ವಿಶ್ವಾಸವನ್ನು ಗಳಿಸಿದ್ದೀಯ.","तू माझा पूर्ण विश्वास संपादन केला आहेस.","நீங்கள் என் முழு நம்பிக்கையையும் பெற்றுள்ளீர்கள்."
p173,trust,"I know you'll do the right thing.","ನೀನು ಸರಿಯಾದದ್ದನ್ನು ಮಾಡುತ್ತೀಯ ಎಂದು ನನಗೆ ತಿಳಿದಿದೆ.","मला माहित आहे की तू योग्य तेच करशील.","நீங்கள் சரியானதைச் செய்வீர்கள் என்று எனக்குத் தெரியும்."
p174,trust,"There's no one I'd rather have on my team.","ನನ್ನ ತಂಡದಲ್ಲಿ ನಿನ್ನನ್ನು ಬಿಟ್ಟರೆ ಬೇರೆ ಯಾರೂ ಇರಬಾರದು.","माझ्या संघात तुझ्यापेक्षा चांगला कोणी नाही.","என் அணியில் உன்னை விட வேறு யாரும் இருக்க விரும்பவில்லை."
p175,trust,"Your promises mean the world to me.","ನಿನ್ನ ಭರವಸೆಗಳು ನನಗೆ ಪ್ರಪಂಚವಿದ್ದಂತೆ.","तुझी वचने माझ्यासाठी जग आहेत.","உங்கள் வாக்குறுதிகள் எனக்கு உலகத்தை அர்த்தப்படுத்துகின்றன."
p176,trust,"I'm comfortable being vulnerable with you.","ನಿನ್ನೊಂದಿಗೆ ದುರ್ಬಲನಾಗಿರಲು ನನಗೆ ಆರಾಮದಾಯಕವಾಗಿದೆ.","मी तुझ्यासमोर असुरक्षित राहण्यास आरामदायक आहे.","உன்னிடம் பாதிப்புக்குள்ளாக இருப்பதில் நான் வசதியாக இருக்கிறேன்."
p177,trust,"You are my rock.","ನೀನು ನನ್ನ ಆಧಾರಸ್ತಂಭ.","तू माझा आधारस्तंभ आहेस.","நீ என் பாறை."
p178,trust,"I trust you to handle this carefully.","ನೀನು ಇದನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ನಿಭಾಯಿಸುತ್ತೀಯ ಎಂದು ನಾನು ನಂಬುತ್ತೇನೆ.","मला विश्वास आहे की तू हे काळजीपूर्वक सांभाळशील.","இதை நீங்கள் கவனமாகக் கையாள்வீர்கள் என்று நான் நம்புகிறேன்."
p179,trust,"It's a relief to have someone so dependable.","ಇಷ್ಟು ಅವಲಂಬನೀಯ ವ್ಯಕ್ತಿ ಇರುವುದು ಒಂದು ಸಮಾಧಾನ.","एवढा विश्वासार्ह कोणीतरी असणे ही एक दिलासादायक गोष्ट आहे.","இவ்வளவு நம்பகமான ஒருவர் இருப்பது நிம்மதி அளிக்கிறது."
p180,trust,"I value your counsel above all others.","ನಾನು ಎಲ್ಲರಿಗಿಂತ ನಿನ್ನ ಸಲಹೆಯನ್ನು ಹೆಚ್ಚು ಗೌರವಿಸುತ್ತೇನೆ.","मी इतरांपेक्षा तुझ्या सल्ल्याला अधिक महत्त्व देतो.","மற்ற அனைத்தையும் விட உங்கள் ஆலோசனையை நான் மதிக்கிறேன்."
p181,fear,"Something is terribly wrong here.","ಇಲ್ಲಿ ಏನೋ ಭಯಂಕರ ತಪ್ಪಾಗಿದೆ.","इथे काहीतरी भयंकर चुकीचे आहे.","இங்கே ஏதோ பயங்கரமாகத் தவறாகிவிட்டது."
p182,fear,"I have a sinking feeling in my stomach.","ನನ್ನ ಹೊಟ್ಟೆಯಲ್ಲಿ ಒಂದು ಮುಳುಗುವ ಭಾವನೆ ಇದೆ.","माझ्या पोटात गोळा येत आहे.","என் வயிற்றில் ஒரு மூழ்கும் உணர்வு இருக்கிறது."
p183,fear,"Don't sneak up on me like that!","ಹಾಗೆ ನನ್ನ ಮೇಲೆ ರಹಸ್ಯವಾಗಿ ಬರಬೇಡ!","अशा प्रकारे माझ्यावर चोरून हल्ला करू नकोस!","அப்படி என் மீது பதுங்காதே!"
p184,fear,"The silence in this house is deafening.","ಈ ಮನೆಯಲ್ಲಿನ ಮೌನ ಕಿವುಡಾಗಿಸುವಂತಿದೆ.","या घरातील शांतता कानठळ्या बसवणारी आहे.","இந்த வீட்டில் நிலவும் அமைதி செவிசாய்க்க வைக்கிறது."
p185,fear,"I'm terrified of heights.","ನನಗೆ ಎತ್ತರವೆಂದರೆ ತುಂಬಾ ಭಯ.","मला उंचीची खूप भीती वाटते.","எனக்கு உயரம் என்றால் பயம்."
p186,fear,"My blood ran cold when I heard it.","ಅದನ್ನು ಕೇಳಿದಾಗ ನನ್ನ ರಕ್ತ ತಣ್ಣಗಾಯಿತು.","ते ऐकून माझे रक्त थंड पडले.","அதைக் கேட்டதும் என் ரத்தம் உறைந்து போனது."
p187,fear,"We need to get out of here, now.","ನಾವು ಇಲ್ಲಿಂದ ಈಗಲೇ ಹೊರಡಬೇಕು.","आपल्याला इथून आताच बाहेर पडायला हवे.","நாம் இங்கிருந்து வெளியேற வேண்டும், இப்பொழுதே."
p188,fear,"I can't bear to look.","ನನಗೆ ನೋಡಲು ಸಹಿಸಲಾಗುತ್ತಿಲ್ಲ.","मी पाहू शकत नाही.","என்னால் பார்க்க சகிக்க முடியவில்லை."
p189,fear,"Is someone following us?","ಯಾರಾದರೂ ನಮ್ಮನ್ನು ಹಿಂಬಾಲಿಸುತ್ತಿದ್ದಾರೆಯೇ?","कोणीतरी आपला पाठलाग करत आहे का?","யாராவது நம்மைப் பின்தொடர்கிறார்களா?"
p190,fear,"That was a terrifyingly close call.","ಅದು ಭಯಾನಕವಾದ ಕೂದಲೆಳೆಯ ಅಂತರದ ಪಾರು.","तो एक भयानक जवळचा अनुभव होता.","அது ஒரு திகிலூட்டும் நெருக்கமான அழைப்பு."
p191,surprise,"Well, I'll be! I never would have guessed.","ಹೌದಾ! ನಾನು ಎಂದಿಗೂ ಊಹಿಸಿರಲಿಲ್ಲ.","व्वा! मी कधीच अंदाज लावला नसता.","ஆஹா! நான் யூகித்திருக்கவே மாட்டேன்."
